vidid,views,likes,dislikes,comment,published,duration,category
VID_1034,137593,1693,82,510,21-06-2015,PT3M1S,B
VID_9847,1320,3,1,1,01-09-2016,PT5M47S,D
VID_1038,2395325,22173,945,1438,20-12-2014,PT8M55S,B
VID_5975,4019,6,0,0,15-03-2012,PT1M17S,D
VID_13924,25075,219,1,15,03-03-2016,PT12M7S,D
VID_2298,934616,1156,185,110,12-06-2014,PT12M36S,C
VID_21124,538893,713,162,103,15-06-2015,PT3H47M10S,G
VID_4812,2893590,5201,854,457,07-01-2015,PT2H24M2S,D
VID_16713,187889,215,86,11,06-06-2016,PT14M32S,E
VID_13549,1834653,11907,310,927,15-05-2016,PT6M23S,D
VID_955,948227,3834,1237,3056,08-05-2016,PT5M49S,B
VID_8336,3620846,5085,1038,436,02-09-2016,PT5M12S,D
VID_8409,3358895,2300,1483,109,17-10-2015,PT2H7M23S,D
VID_16422,47151,145,5,8,15-10-2012,PT4M27S,E
VID_18587,4934,305,4,43,07-09-2015,PT16M44S,F
VID_10718,112,1,0,0,23-02-2016,PT30S,D
VID_23131,1417219,16140,548,1296,17-04-2017,PT45M19S,H
VID_186,2264,1,0,0,31-07-2012,PT1M35S,A
VID_21356,22706474,92225,6713,2263,20-06-2014,PT5M44S,G
VID_21534,55314,172,7,19,13-08-2016,PT4M36S,G
VID_16460,1065642,1501,62,44,09-04-2015,PT1M15S,E
VID_2550,138069,844,126,688,02-09-2016,PT49M41S,C
VID_16303,1707,2,0,0,16-10-2015,PT26S,E
VID_20402,679179,2475,102,131,09-02-2015,PT4M2S,G
VID_9758,13618,42,9,1,09-12-2015,PT3M41S,D
VID_19601,474948,1341,195,64,07-04-2016,PT51M53S,G
VID_17508,240633,2953,531,374,31-10-2012,PT1M51S,E
VID_11383,782372,626,342,F,28-07-2016,PT20M13S,D
VID_15208,5004318,12830,1073,1961,14-08-2016,PT7M50S,E
VID_16130,5432,8,2,0,16-06-2014,PT32S,E
VID_15900,382374,532,114,33,18-06-2016,PT20M28S,E
